TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SWOD-AFTSDT,Quizno's Classic Subs #7266,15335 56 Ave,Surrey,Restaurant,49.10468961,-122.7980857
PNEL-8QX26S,Quiznos Sub #7277,10355 120 St,Surrey,Restaurant,49.19095424,-122.8907569
NDAA-A67QA4,Quiznos Sub #7833,2670 152 St,Surrey,Restaurant,49.05026809,-122.8009322
NDAA-8WQRZD,Railway Cafe,13375 115 Ave,Surrey,Restaurant,49.21175112,-122.8517885
ACAK-9AJSSH,Rama Sweets & Restaurant,7028 120 St,Surrey,Restaurant,49.13087217,-122.8900449
SWOD-AQNTUW,Ramada Hotel - Breakfast Bar,19225 No 10 Hwy,Surrey,Restaurant,49.10466404,-122.6902725
KSMH-ATMS8A,Rana Catering,8910 120 St,Surrey,Restaurant,49.16515223,-122.8900695
SHEN-9SSQ9R,Rangoli Catering & Sweets Ltd.,17665 66A Ave,Surrey,Restaurant,49.1235247,-122.7332104
GEDS-72BNAT,Rasoi Fine Indian Cuisine,3268 King George Blvd,Surrey,Restaurant,49.06108806,-122.8120565
SYOG-5M5622,Real Canadian Superstore #1521 - Deli,7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.845258
SWOD-AEQPQX,Real Canadian Superstore #1551 - Deli,2332 160 St,Surrey,Restaurant,49.04383012,-122.7764031
A019207    ,Real Canadian Superstore #1556 - Deli,14650 104 Ave,Surrey,Restaurant,49.19123455,-122.8160259
A016609    ,Red Baron Restaurant,12180 Beecher St,Surrey,Restaurant,49.05222907,-122.8842696
NDAA-9NDRSE,Red Robin Gourmet Burgers (Guildford),10237 152 St,Surrey,Restaurant,49.1884148,-122.801301
SWOD-AHGRV8,Red Rose Restaurant,6914 King George Blvd,Surrey,Restaurant,49.1282149,-122.8451665
GEDS-7KFM8D,Red Rose Restaurant,2381 King George Blvd,Surrey,Restaurant,49.04479007,-122.7941418
SWOD-A53NQT,Red Shiso Japanese Restaurant,10833 160 St,Surrey,Restaurant,49.19945971,-122.7789059
SPLH-ASUNJH,Relate Church,6788 152 St,Surrey,Restaurant,49.1257959,-122.8006767
SWOD-9UHPGQ,Republica Coffee Roasters,5674 176 St,Surrey,Restaurant,49.10547949,-122.7347679
HCAR-B5GM6G,Rickshaw Chinese Food Whalley Co,10505 King George Blvd,Surrey,Restaurant,49.1934541,-122.8456637
A019020    ,Ricky's All Day Grill #2,8958 152 St,Surrey,Restaurant,49.1654512,-122.8011492
JCOE-67H9A8,Ricky's All Day Grill #20,17830 56 Ave,Surrey,Restaurant,49.10399479,-122.7284669
A019324    ,Ricky's Country Restaurant,2160 King George Blvd,Surrey,Restaurant,49.0414101,-122.7878014
GEDS-76LVCK,Ricky's Country Restaurant - Cloverdale,19219 56 Ave,Surrey,Restaurant,49.10427952,-122.6901561
NDAA-9P3PZH,Riverside Signature Banquet Hall,13030 76 Ave,Surrey,Restaurant,49.14081751,-122.8611741
SHEN-B7BQ5V,Roadhouse Social Lounge,1781 King George Blvd,Surrey,Restaurant,49.03425714,-122.7800552
JDSO-ABZT44,Rocky Mountain Chocolate Factory (Guildford),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
HCAR-AW6SGS,RoDem Korea,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.7987902
HCAR-AZYMYH,Rokku Asian Cuisine,1990 152 St,Surrey,Restaurant,49.03807582,-122.8005191
A020062    ,Ronnie's Restaurant,6542 King George Blvd,Surrey,Restaurant,49.12158708,-122.8451071
NDAA-A3VQ76,Rose Sweets & Tandoori Hut,12565 88 Ave,Surrey,Restaurant,49.16401631,-122.8747815
SWOD-ALRRJG,Rosemary Heights Seniors Village (Assisted Living Kitchen),15240 34 Ave,Surrey,Restaurant,49.06355857,-122.8005938
SWOD-ALRRB2,Rosemary Heights Seniors Village (Main Kitchen),15240 34 Ave,Surrey,Restaurant,49.06355857,-122.8005938
SHEN-B74PVN,Rosemary Rocksalt,16030 24 Ave,Surrey,Restaurant,49.04521951,-122.7779787
SWOD-AJ6RHL,Rosie's Country Cafe,3033 King George Blvd,Surrey,Restaurant,49.0568465,-122.8081268
SHEN-9SZRRW,Rotary Field House,2197 148 St,Surrey,Restaurant,49.04038605,-122.8150858
KSMH-AK7R5Y,Round Table Pizza,12030 80 Ave,Surrey,Restaurant,49.14840143,-122.8891608
SHEN-BCSV32,Royal Canadian Legion Branch #229 (King George Blvd),10767 King George Blvd,Surrey,Restaurant,49.19833815,-122.8459989
JCOE-67H9A4,Royal Canadian Legion Branch #240,2643 128 St,Surrey,Restaurant,49.05053022,-122.867608
A017877    ,Royal Canadian Legion Branch #6 Bar,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.7364031
A016764    ,Royal Canadian Legion Branch #6 Kitchen,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.7364031
SYOG-5M5482,Royal Canadian Legion Branch #8 - Lounge,2290 152 St,Surrey,Restaurant,49.04347012,-122.8009478
HCAR-BCSTPX,Royal Curry Restaurant & Sweets,12588 72 Ave,Surrey,Restaurant,49.13370717,-122.873843
A018898    ,Royal Oak Pizza and Steak House,15336 Fraser Hwy,Surrey,Restaurant,49.16437477,-122.7976534
SHEN-B9XU28,Royal Paan,8148 128 St,Surrey,Restaurant,49.15057771,-122.8648305
SHEN-A7LSB9,Royal Pacific Restaurant Ltd.,9190 120 St,Surrey,Restaurant,49.17022058,-122.889986
HCAR-B6GVC8,Royal Punjab Sweets,15299 68 Ave,Surrey,Restaurant,49.12656472,-122.7992341
SPLH-AAAUX2,Royal's Pizza,12837 88 Ave,Surrey,Restaurant,49.16276072,-122.8671874
GEDS-7FATXC,Ruben's Restaurant,15282 Fraser Hwy,Surrey,Restaurant,49.16501585,-122.7990887
GEDS-75PLQX,Rusty's Neighbourhood Pub,17770 56 Ave,Surrey,Restaurant,49.10255448,-122.7303915
SHEN-APFUB3,S & L Kitchen & Bar South Surrey,16051 24 Ave,Surrey,Restaurant,49.04582614,-122.7774926
GEDS-6DSQ6B,Sabai Thai Restaurant,10391 150 St,Surrey,Restaurant,49.19105767,-122.8066322
A020395    ,Sachdeva Sweets & Restaurant,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
HCAR-B6KNWQ,Safari House of Grill,12889 84 Ave,Surrey,Restaurant,49.15556846,-122.8657296
ACAK-9CALHP,Safeway #4900 - Snack Bar & Deli,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.8457989
ACAK-9CALNC,Safeway #4900 - Starbucks Coffee,10355 King George Blvd,Surrey,Restaurant,49.19071922,-122.8457989
ACAK-9CAMG4,Safeway #4914 - China Kitchen,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
ACAK-9CAME9,Safeway #4914 - Deli,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
ACAK-9CAMF5,Safeway #4914 - Starbucks Coffee,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
ACAK-9CAMPV,Safeway #4920 - Deli,8860 152 St,Surrey,Restaurant,49.16377605,-122.8013253
ACAK-9CAMQN,Safeway #4920 - Starbucks Coffee,8860 152 St,Surrey,Restaurant,49.16377605,-122.8013253
ACAK-9CANVB,Safeway #4939 - Deli,12825 16 Ave,Surrey,Restaurant,49.03148969,-122.8667034
SHEN-B4GLZ6,Sage Dining Services,2656 160 St,Surrey,Restaurant,49.05006748,-122.7786
PNEL-8R2MJU,Saggi Sweet & Restaurant,7248 132 St,Surrey,Restaurant,49.13451113,-122.8564095
SWOD-AL5UUH,Sahota's Live Grill,7548 120 St,Surrey,Restaurant,49.13980911,-122.8900035
JDSO-ACHLL4,Saini Sweets & Restaurant,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.7795386
SHEN-A7GQWB,Saint Germain Bakery,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
SWOD-AK9QKR,Saison,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
SDFO-8F2KW3,Sakuya Sushi,1593 128 St,Surrey,Restaurant,49.03101667,-122.8677884
HCAR-ATQPHX,Sal y Limon Mexican Cuisine,2428 160 St,Surrey,Restaurant,49.04648581,-122.7788055
HCAR-B6KS2K,Salish Secondary Cafeteria,7278 184 St,Surrey,Restaurant,49.13515591,-122.712048
SDFO-8KTTGY,Salty's Fish & Chips,17750 56 Ave,Surrey,Restaurant,49.10394114,-122.7304217
SPLH-9KKLS7,Salty's Fish And Chips,15953 Fraser Hwy,Surrey,Restaurant,49.15879416,-122.7801459
NDAA-9CCPX5,Sammy J's Grill & Bar,15770 Croydon Dr,Surrey,Restaurant,49.04654772,-122.7845253
A019048    ,Samz Neighborhood Pub,19580 56 Ave,Surrey,Restaurant,49.10422301,-122.6804945
